4,8258, 2,4843, 1,0317, 11,5898
3,9690, 2,7408, 1,0883, 54307,1274
1,5437, 2,6993, 1,0776, 10,2191
4,2709, 3,1133, 1,8884, 13,3642
0,8147, 2,6350, 1,6090, 6,9054
3,9271, 2,6296, 1,0756, 9,8593
4,0329, 2,4906, 1,0873, 10,1665
3,9617, 5,7834, 1,0249, 12,0828
1,8192, 2,4375, 1,1136, 7,1453
4,5985, 2,3677, 1,0147, 9,0777
4,5654, 3,0392, 1,0985, 13,4027
4,2436, 2,4424, 1,0220, 8,8870
5,3338, 2,3643, 1,0088, 10,0753
5,2856, 2,3677, 1,0083, 9,7686
5,5055, 2,4472, 1,0161, 10,2484
5,2402, 2,3604, 1,0303, 9,7657
5,4928, 2,3624, 1,0078, 9,9724
5,4377, 2,3668, 1,0044, 10,1362
5,3329, 2,3638, 1,0088, 9,9997
4,0778, 2,3658, 1,0488, 11,5518
5,3324, 2,3619, 1,0127, 9,8866
5,4796, 2,3517, 1,0819, 9,8607
4,9896, 2,4350, 1,0220, 10,2021
5,3592, 2,4238, 1,0312, 9,8988
5,4299, 2,4297, 1,1283, 10,3323
5,0384, 2,4667, 1,2097, 10,3625
4,6531, 2,4467, 1,0493, 9,4916
5,0886, 2,5335, 1,0264, 9,9066
4,5371, 2,4370, 1,0371, 12,1847
4,7112, 2,5096, 1,0415, 9,4097
5,2661, 2,4385, 1,0332, 10,0782
5,1983, 2,4321, 1,0273, 9,7013
5,4879, 2,4438, 1,0371, 10,2167
5,1890, 2,4307, 1,0186, 9,6613
5,5854, 2,4492, 1,0293, 9,9505
5,5659, 2,4155, 1,0215, 10,3669
5,2758, 2,4277, 1,0171, 9,8159
4,0588, 2,5092, 1,0654, 21,7958
5,0554, 2,4341, 1,0200, 9,8237
5,1788, 2,4482, 1,0210, 9,9173
5,3758, 2,4282, 1,0171, 9,9865
5,2768, 2,4238, 1,0488, 9,7871
5,4801, 2,4233, 1,0400, 10,2494
5,2802, 2,5877, 1,0585, 10,0850
5,0954, 2,4619, 1,0498, 9,9631
5,0891, 2,4575, 1,0273, 9,7013
4,3694, 2,4794, 1,0439, 11,7604
5,1032, 2,4463, 1,0322, 9,7798
5,3470, 2,4302, 1,0571, 10,0529
5,2495, 2,4204, 1,0171, 10,2713
4,9715, 2,4419, 1,0342, 9,5560
5,4596, 3,1265, 1,0239, 10,7145
4,6863, 2,5413, 1,0527, 9,5243
5,0920, 2,4287, 1,0205, 9,7657
5,3592, 2,4165, 1,0190, 9,7983
4,6839, 2,4453, 1,0410, 11,4606
5,4080, 2,5014, 1,0571, 10,2206
5,0447, 2,4536, 1,0381, 9,5628
5,6006, 2,4311, 1,0225, 9,9310
5,6381, 2,4238, 1,0278, 9,9778
5,6225, 2,4267, 1,0176, 9,9310
5,7644, 2,4380, 1,0420, 10,2435
5,4728, 2,4482, 1,0288, 9,8032
5,6795, 2,4716, 1,0444, 10,1738
4,0748, 2,6252, 1,0356, 12,1354
4,7390, 2,9144, 1,0585, 9,6716
5,0769, 2,5443, 1,0424, 9,6833
5,3338, 2,4565, 1,0332, 9,7413
5,6834, 2,4321, 1,0273, 9,9651
5,6132, 2,4214, 1,0493, 9,9870
5,6244, 2,4214, 1,0346, 9,8905
0,8259, 2,4253, 1,0688, 5,0525
5,7054, 2,5092, 1,0946, 10,5941
3,7681, 2,4375, 1,0205, 11,5332
5,3738, 2,4214, 1,0166, 9,6062
5,7951, 2,4248, 1,0186, 10,1094
5,6791, 2,4545, 1,0405, 10,2416
5,3772, 2,4394, 1,0356, 9,9831
5,4489, 2,4706, 1,0498, 10,0363
5,3646, 2,4272, 1,0239, 10,0704
5,2509, 3,1318, 1,0254, 10,5882
4,6970, 2,4463, 1,0429, 9,3497
4,3791, 2,4760, 1,0712, 11,7487
5,1368, 2,6876, 1,0405, 10,0490
5,0462, 2,4472, 1,0546, 9,8924
5,1139, 2,4521, 1,0405, 9,8559
5,2363, 2,4765, 1,0702, 10,0207
5,1671, 2,4341, 1,0205, 9,5789
5,6513, 2,4321, 1,0220, 9,9568
5,6859, 2,4253, 1,0239, 9,9748
5,7127, 2,4238, 1,0181, 10,1109
4,6244, 2,4385, 1,0220, 11,6673
5,2397, 2,4160, 1,0200, 9,8056
5,4582, 2,4189, 1,0176, 10,1752
5,2295, 2,4531, 1,0356, 9,9388
5,2870, 3,0080, 1,0254, 10,5093
4,7906, 2,4214, 1,0181, 9,4658
5,2553, 2,4224, 1,0186, 10,0451
5,2236, 2,4321, 1,1127, 10,0846
3,8935, 2,4438, 1,0420, 10,3532
3,7316, 2,4463, 1,0429, 11,9209
4,9789, 2,5106, 1,0473, 9,7993
5,0998, 2,5204, 1,1619, 10,1460
5,0052, 2,4828, 1,0673, 10,0251
4,8609, 2,4872, 1,0527, 10,5819
4,3138, 2,5077, 1,0546, 9,1957
5,1169, 2,5721, 1,0371, 10,3284
4,7765, 2,4477, 1,0317, 9,4624
5,3070, 2,4346, 1,0229, 9,9222
4,1226, 3,0470, 1,0307, 12,1032
4,7755, 2,4341, 1,0332, 9,2981
5,4718, 2,4463, 1,0566, 10,0997
5,3587, 2,4721, 1,0415, 10,8394
4,5176, 2,4882, 1,0498, 10,1075
4,3528, 2,4414, 1,0259, 8,9007
5,4635, 2,4716, 1,0254, 10,0329
5,4440, 2,4350, 1,0229, 9,9334
5,4777, 2,4672, 1,0259, 10,0241
4,5308, 2,4438, 1,0288, 11,5366
5,3348, 2,4414, 1,0239, 10,1543
5,1817, 2,4228, 1,0244, 9,7496
5,4348, 2,4282, 1,0254, 10,0811
5,3455, 2,6116, 1,0283, 9,9641
5,3543, 2,4350, 1,0337, 10,3240
4,9696, 3,2147, 1,1322, 10,5278
